글번호,공개여부,제목,등록일,작성자,처리지사,진행현황,내용,답변자,답변내용
185913,공개,일용근로자 고용산재 보험료 문의드립니...,2020-10-20,임**,콜센터,처리완료,안녕하세요 중학교 행정실에 근무하는 급여 담당자입니다. 이번달에 처음으로 근로자명에 일용근로자 라고 해서 고용산재 보험료가 나왔습니다. 처음보는거라 앞에 작년내역까지 다 검색해봐도 이런적은 없고 다른학교에 물어봐도 다들 모른다 하여.. 이게 정확히 어떤 내역인지.. 2019년 일용근로자 총 내역인지.. 이번달만 내는건지 다음달도 계속 내는건지 전화연결이 안되어 글 올립니다..,콜센터,고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.★고객님 문의사항에 대하여 2020-10-21 11:0분경 유선으로 안내드린 것으로 인터넷 상담 답변을 대신하겠습니다. 답변요약:2019년도 보수총액 신고와 국세청 신고자료를 대사하여 부과고지 사업장 정산이 이루어졌습니다.고용·산재보험토탈서비스(http://total.kcomwel.or.kr) 접속 > 공인인증서 로그인 후 정보조회 > 보험료정보조회 > 부과고지보험료조회(20209) 조회에서 확인가능합니다. 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.  ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.
185904,공개,"고용,산재 가입대상 여부 확인하고자합...",2020-10-20,이**,콜센터,처리완료,"안녕하십니까.   주 14시간으로 11월 1일~12월 24일까지 채용되는 근로자가 있습니다.  일용직은 아니시구요. 단기간 근로자입니다.  이 경우 고용,산재 가입대상자입니까?   추가로, 새로운 직원들이 있을시.. 고용,산재 가입대상자 되는지 등 적용요건  확인하려면 어디서 자료를 보는게 좋을까요?",콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.※ 사이버 상담실에서는 일반적인 기준에 대해 안내해드리는 기관으로서 직접적인 업무처리를 하지 않음을 양해해 주시기 바랍니다. 또한, 고객님께서 문의하신 내용은 개인정보확인(주민번호, 사업장명 등) 이 필요한 사항으로 콜센터 또는 인터넷 문의는 상담에 다소 제한이 있음을 양지하여 주시기 바랍니다.월 60사간미만인자가 1개월이상~3개월이내로 근무 근무할 경우 고용보험에 해당되지 않습니다. 고용보험은 대상이 아니지만 산재보험은 대상이기 때문에 취득신고서에 산재만 체크하고 보험부과구분에 체크하고 부호를 51-10로 작성해주시면 됩니다.고용,산재 가입대상자 되는지 등 적용요건 확인하는 경로는  근로복지공단홈페이지 → 정보공개 → 자료실  → 실무자료  → 2020년도 가입 및 부과업무 실무편람 등에서 확인가능합니다. 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.  ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다. "
185866,공개,충당금을 안할 수 있는 방법이 있을까...,2020-10-20,박**,콜센터,처리완료,"안녕하세요  단양군 어상천면사무소 근무하고있는 박선병이라고 합니다.  304-83-01296 사업자번호인 어상천면사무소 고용산재 보험료 고지서를 받는데  과납부한게 있어서 이번달에는 보험료가 0원으로 나왔습니다.   그런데 이번달 납부해야 하는 사람도 있고, 돈을 돌려주어야 할 사람도 있는데 이거를 뭉쳐가지고  충당금 식으로 해버리는게 오히려 불편합니다.  차라리 충당금을 안할수 있는 방법이 있나요?  과납부한 부분 있으면 저희 계좌로 그부분만큼 환급하는 식으로 처리하고 싶습니다.  답변부탁드립니다.",콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.★ 고객님 문의사항에 대하여 2020-10-21 09:01분경 유선으로 안내드린 것으로 인터넷 상담 답변을 대신하겠습니다. 과오납금으로 확인되는 보험료 반환요청 방법입니다.① 거래은행 계좌개설신고서 제출②「보험료징수법」,「임금채권보장법」및 「석면피해구제법」에 따른 반환금 지급금액이 100만원 미만인 경우에는 전화 신청이 가능하며, 거래은행 통장 사본 첨부는 반환금 지급금액과 상관없이 생략하게 할 수 있다. 개정 2015. 10. 27.>※ 반환금 지급금액 100만원 이상인 경우 반드시 거래은행 계좌개설신고서 제출(유선신청 불가)※ 개인사업주->대표자 계좌 / 법인사업주->법인계좌.반환을 요청한 경우 체납한 금액이 있다면 이를 우선 충당하고 잔액이 보험가입자(사업주 등)의 계좌로 반환(입금)되며 충당을 요청한 경우에는 보험료 그 밖의 기타 징수금 등에 충당을 하게 됩니다. ► 반환은 받드시 보험 가입자의 계좌로 입금되며 타인계좌로 입금 불가 ► 수급권의 대위로 보험가입자가 산재보험급여를 지급받는 경우 체납한 금액이 있다면 그 금액만큼 충당된 후에 잔액이 지급되며, 충당을 원하는 경우에는 충당요청을 할 수 있음.  충당 또는 반환된 금액에 관련된 부분은 고용산재보험 토탈서비스>정보조회>보험료정보 조회>충당반환내역 조회에서 확인가능하며, 개별적인 사안에 대한 보다 자세한 상담은 실제 업무를 수행하고 있는 사업장 소재지 관할지사 담당자에게 문의하시길 안내드립니다.* 지사찾기 : 근로복지공단홈페이지 → (좌측 상단) 공단소개 → 조직안내 → 지역본부 및 지사에서 사업장 관할 지역본부 및 지사 연락처(담당자) 등을 상세하게 검색 가능합니다. 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.  ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다."
185841,공개,사내이사 고용보험 가입 관련,2020-10-19,최**,콜센터,처리완료,"저희 사내이사 (김석태, 박태호) 2분이 고용보험에 가입이 안되어있다고 나오는데요, 이사시긴하지만 현장에 자주 나가셔서 고용보험에 가입되어있어야합니다 고용보험 납부도 매달 꾸준히 하고계시는데 왜 미가입으로 나오는지 모르겠네요",콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.★ 고객님 문의사항에 대하여 2020-10-20 15:07분경 유선으로 안내드린 것으로 인터넷 상담 답변을 대신하겠습니다 - 등기임원의 경우 대표이사와의 사용종속성 및 경제적 종속성 등  실질적인 업무형태와 근로실태에 따라 근로자성은 종합적으로 판단됨’으로 근로자성 판단에 대해서는 별도 시기가 정해져 있지는 않으므로 판단을 원하는 시점에 사업장 관할지사로 문의주시면 세부적인 판단 절차를 통해 근로자성 판단을 받으실 수 있습니다. 참고로 본 질문과 관련하여 등기임원의 근로자성 판단기준을 참고하실 수 있도록 저희 공단 홈페이지 경로 안내드립니다.*근로복지공단 홈페이지(www.kcomwel.or.kr) > 정보공개 - 사전정보공표 - 행정지침.질의회시 - 4번. 동거친족 등 근로자성 판단 업무처리 지침 변경 시달('16.12.29.)     ※ 사이버상담실에서는 일반적 기준에 대한 안내는 가능하나, 개별 사안에 대한 구체적인 사실관계 조사와 관련서류에 대한 검토 없이 근로자성 여부에 대해 직접적인 판단을 내려드릴 수는 없음을 양해부탁드리며, 근로관계를 확인할 수 있는 자료를 제출받아 사용종속관계 등 근로자성에 대한 판단 업무를 하고 있는 사업장 소재지를 관할 지사(지역본부) 가입지원부에 전화(방문)하여 상세한 상담받으시길 바랍니다. 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.  ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다."
185829,공개,고용보험 퇴직정산,2020-10-19,이**,콜센터,처리완료,이번달 말일자로 직원이 퇴직을 합니다. 저희는 말일에 급여를 지급합니다. 고용보험 정산을 해야하는 걸로 알고 있는데 퇴직 신고는 퇴직일 이전에는 불가능해서요. 11월 2일에 퇴직신고를 하면 고용보험 정산 내역이 나오는 데까지는 며칠이 걸릴까요.,콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.2020.01.19부터 시행된 것은 고용산재보험료에 대한 퇴직정산입니다. 부과고지 사업장에서 2020.01.16 이후 근로자 퇴사 시 사업장에서 근로자에게 지급한 보수총액을 자격상실신고 시 작성하면, 퇴직정산 결과를 반영월의 월별보험료에 합산고지합니다(추가부과, 반환·충당).사업장에서 상실신고서를 접수하시게 되면 관할지사 부과담당자가 퇴직정산처리를 하게 되며, 고지작업기준일(보통 매달 15일이며) 이전 처리될 경우 고지작업기준일이 속한 달의 월별보험료로 반영되며, 이후 처리될 경우 고지작업기준일이 속한 달의 다음 달 월별보험료로 반영하게 됩니다. 반영작업이 종료된 후에는 고용산재토탈서비스(http://total.kcomwel.or.kr) → 사업장회원 로그인 → 보험료정보 조회 > 개인별 부과고지보험료 조회에서 조회 가능합니다.근로자 개인이 확인하는 경우에는 고용산재 토탈서비스 사이트 접속 후  개인 → 개인(일반근로자) → 공인인증서 로그인 → 보험료정보조회 → 개인별부과고지보험료조회(20210)’: 월별로 분할/ 합산(부과월 합계)된 퇴직정산보험료 조회한 금액이 퇴직일까지의 보험료 정산한 금액입니다. 인터넷 상담은 직접 민원업무를 처리하는 곳이 아니므로 일반적인 경우에 대한 안내를 하고 있으며, 개별적인 사안에 대한 보다 자세한 상담은 실제 업무를 수행하고 있는 사업장 소재지 관할지사 담당자에게 문의하시길 안내드립니다.- [근로복지공단 지사 찾기]근로복지공단홈페이지 → 조직안내 → 지역본부 및 지사 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.  ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.  "
185782,공개,산재보험가입문의,2020-10-17,송**,콜센터,처리완료,근로자와 기간정함없는 근로계약으로 계약했으나 근로자가 입사당일 하루 일을 하고 그만두었습니다 이런 경우 산재보험 가입신고는 어떻게 하면 됩니까?,콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.[고용·산재보험]은 사업의 종류·영리성 여부 등에 관계없이 근로자를 사용(고용)하는 모든 사업 또는 사업장은 원칙적으로 가입대상 사업으로 적용됩니다.  취득일 : 고용산재보험 적용사업에 새로이 채용된경우 - 처음 근로를 시작한 날상실일 : 사업주와 고용관계가 종료된경우(근로자가 이직한경우) - 고용관계가 끝나는 날의 다음날(이직한 날의 다음날)취득, 상실신고 신고의 경우 사업장에서는 근로자께서 입사, 퇴사한 날의 다음달 15일까지 근로복지공단으로 접수하여야 합니다. 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.  ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다."
185775,공개,고용보험 가입해지,2020-10-16,김**,콜센터,처리완료,"회사에 근무햇다가 얼마안있어 불미스러운 일로 퇴사를 하게 ？습니다. 그 후 회사측에서 고용보험을 해지햇엇는데,  불미스럽게 그만두고 난 후에 며칠뒤에 회사측에서 다시 자기회사로 고용보험을 가입시켯습니다. 회사측에  해지해달라고 요청한상태입니다. 그런데 나라에서 받는 지원금을 못받게 악의적으로 저를 가입시켜논거 같은 기분이 들어서 회사쪽에 전화해주셔서 해지 할수잇도록 안내해주시면 감사할것같습니다.",콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.※ 사이버 상담실에서는 일반적인 기준에 대해 안내해드리는 기관으로서 직접적인 업무처리를 하지 않음으로 전화통화는 어려운 점 양해해 주시기 바랍니다.고용·산재보험 가입 대상인 근로자는 직업의 종류와 관계없이 임금을 목적으로 사업 또는 사업장에서 근로를 제공하는 「근로기준법」상 근로자로, 사업주의 지휘·명령을 받으며 사실상 사용종속관계 하에서 노무를 제공하는 자를 말합니다.취득, 상실신고 신고의 경우 사업장에서는 근로자께서 입사, 퇴사한 날의 다음달 15일까지 근로복지공단으로 접수하여야 합니다.실질적으로 근무한 내역이 없으실경우 사업장측에 요청을 해보시고 그럼에도 사업주가 신고등을 거부하거나 정상적으로 신고가 되지 않을 경우에는 아래와 같은 방법으로 직접 청구 할 수 있는 방법 안내 해 드립니다. ★ 피보험자격 확인청구 신고방법 - 인터넷 신고: 고용산재 토탈서비스 ( http://total.kcomwel.or.kr )공인인증서 로그인(일반근로자) - 민원접수/신고- 자격관리 –고용보험 피보험자격 확인청구 또는 근로자 고용보험 피보험자격 신고- 서면신고 : 「피보험자격 확인 청구서」와 객관적 입증자료를 사업장 관할 근로복지공단 소속지사(지역본부)에 우편, 팩스, 방문 접수 가능- 서식 : 근로복지공단 홈페이지(www.kcomwel.or.kr) → 서식자료 → 명칭 검색 후 다운로드 하시어 팩스·우편 접수 ※ 지사에서 필요 시  피보험자격 확인 청구서에 피보험자격의 확인을 입증할 수 있는 증빙자료를 요청할 수 있습니다. 고객님의 개인정보(주민번호, 사업장명)가 없어 정확하게 확인되지 사업장의 소재지가 확인이 불가능 하여 관할지사 확인하는 방법을 안내드립니다.⇨ 근로복지공단 사이트(https://www.kcomwel.or.kr) 접속 → 공단소개 → 조직안내 → 지역본부 및 지사  기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.    ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다."
185764,공개,부담금 납입내역 수정을 필요로 할때,2020-10-16,곽**,콜센터,처리완료,"안녕하세요. 문의드립니다. 부담금 납입내역에 대해 수정이 필요한데, 어떻게 하면 좋을까요? 익월분에 그만큼 반영할 수 밖에 없나요? 별도 수정은 불가능하고?  답변부탁드립니다.",콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다현재 공단 업무 폭주로 인하여 상담업무가 상당히 지연되고 있으므로 고객님의 너그러운 이해 부탁드리며, 답변이 늦어 죄송합니다.부담금 납입내역에 대해 수정이 필요한데, 어떻게 하면 좋을까요? ->보험료 납부할 금액이 달라졌다면 사업장관할지사 담당자에게 연락하시여 수정하고자 하는 부분을 수정을 하시고 보험료를 정정하시면 됩니다.사업장에서 어떤부분이 잘못되었는지 서술이 없어 자세한 안내를 드리지 못했습니다.익월분에 그만큼 반영할 수 밖에 없나요? 별도 수정은 불가능하고? _>만약, 사업장에 수정한 부분이 그 달에 반영을 원할 경우 빠른시일내에 담당자에게 연락하시여 수정이 가능한지 여부를 확인한 후 수정서류를 제출하여 정정후 보험료 정정에 대한 수시반영요청을 해달라고 하시면 가능합니다.그러나 수시반영은 반영이 가능한 일정기간이 있습니다. 일정기간이 지나면 담당자가 수시반영을 할 수가없으니 지사담당자와 상의하여 보시기 바랍니다. [근로복지공단 지사 찾기]근로복지공단홈페이지 → 조직안내 → 지역본부 및 지사 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.    "
185751,공개,산재보험료 관련,2020-10-16,이**,콜센터,처리완료,안녕하세요.  19년도 산재예방요율 사업주 교육을 들은 사업장 입니다.(원테크 609-31-95894)  19년도 산재예방요율 사업주 교육을 들으면 20년부터 산재보험료가 10% 인하하는걸로 알고 있습니다.  그런데 매월 고지서를 보면 인하된 금액은 보지이 않더라고요.  10% 인하된 금액이여서 보이지 않은건지.  궁금하여 질의 남깁니다.  메일로 회신 주시면 감사하겠습니다.,콜센터,고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.★ 고객님 문의사항에 대하여 2020-10-20 14:32분경 유선으로 안내드린 것으로 인터넷 상담 답변을 대신하겠습니다.사업장에서 사업주 교육으로 경감된 예방요율인하율 확인 할수 있는 아래의 경로에서 확인이 가능합니다.- [사업장요율조회]고용산재토탈서비스(http://total.kcomwel.or.kr) → 사업장회원 로그인 → 정보조회>사업장 요율조회(20206) 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.  ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.
185657,공개,특수형태근로자 이직신청서 문의,2020-10-14,황**,콜센터,처리완료,"평범한 주 5일제 직장에 정직원으로 다니고 있는데 아르바이트 삼아 최근 배달의민족 배민커넥트를 시작했습니다.  그런데 집으로 특수형태근로자 이직신청서 우편이 왔습니다.  내용을 보니 둘 이상의 사업에 종사하는 경우 나중에 입직한 사업장으로 보험이 적용되는것 같은데 제가 원래 직장을 잘 다니고 있고, 배달 일은 거의 취미삼아 몇 번 해본겁니다. 이럴 경우 제 기존 보험에 문제 없는지, 어떤 우려되는 피해가 있을지 알고 싶습니다.",콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다. 인터넷상담은 콜센터에서 답변을 드리고 있으며 직접 민원업무 처리를 하지 않으므로 업무에 대한 판단을 해드릴 수 없으며 일반적인 단순문의에만 답변 가능한 점 양해부탁드립니다. 산재보험은 중복가입이 가능합니다. 여러 사업장에 근무하시는 경우 각각의 사업장에 별도로 산재보험 가입이 되어있어야 각각의 업무상재해 발생시 적용받으실 수 있습니다. 일반근로자가 여러 사업장에 대해 산재 적용을 받는 경우에는 별도의 절차가 필요하지 않습니다.※근로자의 자격정보는 자격을 신고한 사업장으로만 통지합니다(단, 고용보험이 이중취득된 경우, 이력이 취소되는 사업장으로 보험료 반환을 위한 통지를 할 수 있습니다). 다만, 문의주신 특수형태근로종사자의 경우 (특수형태근로종사자로서)여러 사업장에서 노무를 제공하더라도 하나의 주된 사업장을 결정하고 이에 따른 보험관계를 적용하여야하므로, 나중에 입직한 사업장으로 산재보험이 적용되며 이전 사업장은 이직처리됩니다. 만약 이전 사업장을 주된 사업장으로 계속 적용을 원하는 경우에는 나중에 노무를 제공하게 된 사업장에 처음으로 노무를 제공하는 날이 속하는 달의 다음 달 말일까지 계속적용을 신청하여야 기존 특수형태근로종사자로 노무를 제공하는 사업장으로 적용받으실 수 있습니다. 특수형태근로종사자가 산재보험의 적용을 원하지 않을 시에는 본인의 의사에 의하여 관할지사로 적용제외신청을 하실 수 있습니다. 서식은 [근로복지공단 홈페이지(www.kcomwel.or.kr) > 알림마당 >자료마당 > 서식자료]에서 다운로드 받으실 수 있습니다.※특수형태근로종사자가 적용제외 신청을 하는 경우 신청한 날의 다음 날부터 산재보험적용을 받지 않게 되나, 입직일로부터 70일 이내에 적용제외를 신청하는 경우에는 입직일부터 소급하여 적용 제외됩니다. 개별적인 사안에 대한 보다 자세한 상담은 실제 업무를 수행하고 있는 사업장 소재지 관할지사 담당자에게 문의하시길 안내드립니다. - [근로복지공단 지사 찾기]근로복지공단홈페이지 → 조직안내 → 지역본부 및 지사 기타 근로복지공단의 업무와 관련된 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다. ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다. "
