글번호,공개여부,제목,등록일,작성자,처리지사,진행현황,내용,답변자,답변내용
185198,공개,휴업급여 신청 시점 문의 / 의사 소...,2020-09-29,지**,콜센터,처리완료,"안녕하세요 ^^ 휴업급여 관련으로 문의드립니다, 현재 회사 업무하며 질병을 얻어 다음달 10.01~10.31 까지 병가 진행예정입니다.  질문 1. 이럴경우 휴업급여 신청을 언제쯤 해야하는지 확인부탁드립니다  질문 2. 휴업급여 신청외에 회사업무하며 질병얻을 경우 추가 신청가능한게 있나요? 질문 3. 신청시 필요서류는 어떻게 되나요? 질문 4. 의사소견서에 '치료'라는 단어가 들어가야 하는건가요?  일은 하지 말라며 2-3달 음성 휴식이 필요하다라고 되어있는데 해당내용으로도 가능한지 확인부탁드립니다",콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.업무상 질병의 경우 병명에 따라 승인 여부가 판단되는 것은 아니며 업무와 질병 사이의 인과관계를 확인 후 산재 승인여부 판단이 가능하므로, 서류가 제출되어 해당 지사에서 최종적으로 검토하여 승인 여부를 판단할 수 있음을 알려드립니다. ★ 업무상 재해의 인정 기준  산업재해보상보험법 제37조(업무상의 재해의 인정기준)에서 “근로자가 다음 각 호의 어느 하나에 해당하는 사유로 부상·질병 또는 장해가 발생하거나 사망하면 업무상의 재해로 본다, 다만, 업무와 재해 사이에 상당인과관계가 없는 경우에는 그러하지 아니하다.”라고 규정하고 있으며, 특히 업무상 질병은 ① 업무수행 과정에서 물리적 인자, 화학물질, 분진, 병원체, 신체에 부담을 주는 업무 등 근로자의 건강에 장해를 일으킬 수 있는 요인을 취급하거나 그에 노출되어 발생하는 질병 ② 업무상 부상이 원인이 되어 발생한 질병 ③ 그 밖에 업무와 관련하여 발생한 질병으로 판단하고 있습니다. - 또한 산업재해보상보험법 시행령 제34조(업무상 질병의 인정기준) 제1항에 의하면 업무상 부상, 물리적·화학적·생물학적 요인으로 인한 질병, 직업성 암 등 근로기준법에서 정하고 있는 업무상 질병의 범위에 속하는 질병에 걸린 경우 이를 기초로 하여 ① 근로자가 업무수행 과정에서 유해·위험요인을 취급하거나 유해·위험요인에 노출된 경력이 있고 ② 유해·위험요인을 취급하거나 유해·위험요인에 노출되는 업무시간, 그 업무에 종사한 기간 및 업무 환경 등에 비추어 볼 때 근로자의 질병을 유발할 수 있다고 인정되며 ③ 근로자가 유해·위험요인을 취급한 것이 원인이 되어 그 질병이 발생하였다고 의학적으로 인정되는 이 세 가지의 요건 모두에 해당하면 업무상 질병으로 본다고 정하고 있습니다.   산재 신청은「요양급여신청서」접수를 통해 하실수 있으며, 산재 승인전 치료받은 치료비에 대해서는 「요양비청구서」+진료비 영수증+진료비 상세내역서를 통해 청구하실수 있습니다.그 외, 재해조사시 추가 서류를 요청할수 있습니다.질판위심위를 거쳐 승인이 된경우 승인된 기간에 대해서 휴업급여가 지급됩니다. [신청서류] * 지사찾기 : 근로복지공단홈페이지 → (좌측 상단) 공단소개 → 지역본부 및 지사에서 사업장 관할 지역본부 및 지사 연락처 등을 상세하게 검색 가능합니다. 상기 업무상 질병의 인정기준에 대한 설명이 고객님께 조금이나마 도움 되었길 바라며 무엇보다 근로자의 직업력, 기초질환, 기존질병과 작업환경 및 유해인자 등 업무와 질병간의 상호 인과관계 등 질병의 재해조사 및 업무상질병판정위원회 심의를 거쳐 산재여부가 결정되는 만큼 실무관련 한 보다 구체적인 사안은 사업장 소재지 관할지사로 문의하여 주시고, 그 외 궁금한 사항이 있으신 경우에는 근로복지공단 콜센터(☎ 1588-0075)로 전화주시면 친절하게 상담해 드리겠습니다.  이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다. ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다."
185190,공개,휴직으로 인한 퇴직금 문의,2020-09-29,임**,콜센터,처리완료,"2019.12.03일 입사. 현재 재직중이며 2020.12.02일이 1년. 커뮤니티센터 직원(아파트 입주민 부대복리시설에서 근무(헬스장)이며 코로나19로 인해 휴관기간이 대략 4-5개월 갸량 됨. 현재도 휴관임. 이럴경우 퇴직금 지급시기가 휴관기관 포함해서 입사이후 1년인지와 급여가 1,900,000원인데 평균임금으로 산정하기가 애매함.(현재 휴관이여서 무급임).  통상임금으로 해야하는지도 궁금합니다. 휴관기간이 근속일수에 포함되는지 . 포함되면 입사후 1년 시점 2020.12.02일이후에 지급해야하는지 궁금합니다~",콜센터,고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.근로복지공단은 고용·산재보험 가입·부과·피보험자 관리 및 산재 보상·요양·재활·의료서비스 업무와 그 외 일자리안정자금지원 등의 일부 복지업무를 수행하고 있습니다.문의하신 내용이 근로복지공단 퇴직연금이 아닌 퇴직금산정이라면 안타깝게도 고용노동부 소관업무입니다.  번거로우시겠지만 아래와 같은 방법으로 고용노동부로 다시 한번 문의하시기 바랍니다.   ▷ 전화 문의 : 고용노동부 고객상담센터 (국번 없이 ☎1350)▷ 인터넷 문의 : 고용노동부 홈페이지(www.moel.go.kr) > 민원마당 > 민원신청 > 빠른 인터넷상담 쌀쌀해지는 날씨에 건강 유의하시기 바라며 이용해 주셔서 감사합니다.※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.
185144,공개,추가상병신청,2020-09-28,윤**,콜센터,처리완료,추가상병신청시 의사소견서를 반드시 최초 산재승인된 병원에서 받아야 하나요? 다른 새로운 병원에서 추가상병 소견서를 받을수 있나요?,콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다. ※ 사이버 상담실에서는 일반적인 기준에 대해 안내해드리는 기관으로서 직접적인 업무처리를 하지 않음을 양해해 주시기 바랍니다. 또한, 고객님께서 문의하신 내용은 개인정보확인(주민번호, 사업장명 등) 이 필요한 사항으로 콜센터 또는 인터넷 문의는 상담에 다소 제한이 있음을 양지하여 주시기 바랍니다. ★ 추가상병 - 추가상병은 최초요양의 승인을 받은 산재근로자가 업무상 재해로 인하여 상병이 존재하였으나 최초요양급여 신청 시 발견하지 못해 누락되었거나 요양과정에서 업무상 재해의 합병증, 이환된 질병 등으로 생겨난 새로운 상병으로서 요양이 필요하여 추가되는 상병을 말합니다. - 업무상의 재해로 요양 중인 근로자는 업무상의 재해로 이미 발생한 부상이나 질병이 추가로 발견되어 요양이 필요한 경우나 그 업무상의 재해로 발생한 부상이나 질병이 원인이 되어 새로운 질병이 발생하여 요양이 필요한 경우에는 추가상병 신청하여 검토 받으실 수 있습니다. 산업재해보상보험법 제49조(추가상병 요양급여의 신청) 추가상병의 경우 이미 발생한 부상이나 질병에서 추가로 발결되어 요양이 필요한 경우나 부상이 원인이 되어 새로운 질평이 발생한 경우에 해당할 경우 추가상병을 신청할 수 있기 때문에 의사소견서는 최초 산재승인된 병원의 주치의사의 소견을 원칙적으로 제출하여 합니다.  ★ 위의 답변으로 고객님의 궁금증이 해소되었기를 바라며, 답변이 충분하지 않았거나 기타 궁금한 사항이 있으시면 의료기관 관할 우리 공단 소속기관 재활보상부 또는 근로복지공단콜센터(☎1588-0075)로 전화주시면 성심 성의껏 답변해 드리겠습니다. 감사합니다.   오늘도 행복한 하루 보내시길 바랍니다.  * 지사찾기 : 근로복지공단홈페이지 → (우측 상단) 공단소개 → 지역본부 및 지사에서 사업장 관할 지역본부 및 지사 연락처등을 상세하게 검색 가능합니다.  ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.  "
185142,공개,자문의 소견,2020-09-28,박**,콜센터,처리완료,수고가 많으십니다. 다름이 아니오라 본인이 얼마전 추가상병 신청을 하였는데  일반 추가상병은 자문의사회의에 참석이아니고 클린 자문을 받는다고 하는데 2명의 자문의에게 랜덤 방식으로 의뢰하는것 아닌가요? 그런데 저와같은 경우는 한면의 자문소견만 받아서 질문드리는겁니다.혹 한명의 자문 소견만 받아도 아무 문제가 없는것인가요??,콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.  ※ 사이버 상담실에서는 일반적인 기준에 대해 안내해드리는 기관으로서 직접적인 업무처리를 하지 않음을 양해해 주시기 바랍니다. 또한, 고객님께서 문의하신 내용은 개인정보확인(주민번호, 사업장명 등) 이 필요한 사항으로 콜센터 또는 인터넷 문의는 상담에 다소 제한이 있음을 양지하여 주시기 바랍니다.고객님이 추가상병신청할 때 자문의사의 소견에 대한 문의를 주셨는데 곡객님의 개인정보(주민번호)가 없어 정확한 안내가 불가능하나 추가상병승인에 대한 기본적인 안내를 드립니다.1)재해가 발생한 날로부터 6개월이 지난 이후에 파생상병에 해당하는 추가상병일때-전문위원에게 자문, 소속기관에 전문위원 없을경우나 진료과목에 대한 전문의 자격이 없을때 전문의 자격을 가진 자문의사 2명에서 자문함.2)신경외과, 정형외과 전문분야의 추가상병 신청으로 다음 각호에 해당할때 클린자문 함-1) 재해일로부터 6개월 이후 제출된경우. 2) 병원급 이상 의료기관에서 의원급 의료기관으로 전원후 제출된 추가상병. 3)최초 승인상병이 염좌이면서 추간판탈출증을 추가상병신청한 경우 등요양관리규정에 따라 상병과 재해일과 의료기기관등 재해자의 요건에 따라 담당자가 판단하여 결정하게 됩니다,위의 경우를 제외하고는 대부분은 1명의 자문을 방아 처리하게 됩니다.좀 더 자세한 상담은 실제업무를 담당하는 보숭부 담당자에게 다시한번 문의하여 주시기 바랍니다.  기타 궁금한 사항이 있으시면근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다. ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
185057,공개,2017월 6월 자전거로 출근중 사고...,2020-09-26,배**,콜센터,처리완료,"2017년6월달에 출근중 자전거도로에서 넘어서 3개월 일을 못 했습니다 우연히 버스광고판에보니 산재보험 3년이전꺼도 신청하면 된다고 본것같은데 그때는 산재보험도 몰랐어요 참고로 저는 시내버스회사에 근무합니다 그때 오후반인데 회사 다와서 사고가나서 회사 여직원이 약도 발라주고 했는데 첫달에는 기본금받고 둘째달,셋째달은 무임금으로  일 했습니다 답변 기다리겠습니다^^",콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다. 인터넷상담은 직접 민원업무 처리를 하지 않으므로 업무에 대한 판단을 해드릴 수 없으며 일반적인 단순문의에만 답변 가능한 점 양해부탁드립니다.  업무상 재해(업무상 사고, 업무상 질병, 출퇴근재해)로 인한 요양신청을 하시는 경우 1) 산업재해보상보험법의 적용을 받는 사업장에서 2) 업무상 재해를 당하여 3) 4일 이상의 요양이 필요한 경우에 해당하는지에 대하여 근로복지공단 소속기관에서 판단을 하고 있습니다.  그중 출퇴근재해는 ①사업주 지배관리하의 출퇴근 재해와 ②그 밖의 통상적인 경로와 방법으로 출퇴근하는 중 발생한 사고로 나누어 판단합니다. 문의주신 경우는 ②그 밖의 통상적인 경로와 방법으로 출퇴근하는 중 발생한 사고에 해당하는지에 대한 검토가 가능할 것으로 보이며, ""출퇴근 중 발생한 사고이고 통상적인 경로와 방법으로 이동 중 발생한 사고여야 하며, 경로의 일탈 또는 중단이 없는지""여부를 검토합니다. 업무상 재해에 대한 입증책임은 근로자에게 있습니다. 따라서 요양급여신청서와 산업재해보상보험 요양급여신청 소견서, 고객님의 주장을 뒷받침할 수 있는 자료(근로계약서, 목격자확인서, 출장명령부, 급여대장 등), 의학적 사실을 입증할 자료(의무기록지, mri 등 검사자료 등)를 제출해야 합니다. 개별적인 사안에 대한 보다 자세한 상담은 실제 업무를 수행하고 있는 관할지사 재활보상부 담당자에게 문의하시길 안내드립니다.- [근로복지공단 지사 찾기]근로복지공단홈페이지 → 조직안내 → 지역본부 및 지사 기타 공단의 업무와 관련된 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다. ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다."
184895,공개,휴게시간 이후 복귀과정 중 손목골절 ...,2020-09-24,강**,콜센터,처리완료,"안녕하세요. 문의사항이 있어 질의 남깁니다.  소속 근로자가 근무시간 中  휴게실에서 휴식을 취한 후, 영업장으로 복귀하는 과정에서 신발을 신는 중 중심을 잃고 넘어지는 중에 머리를 보호하기 위해 손으로 바닥을 짚다가 손목을 다치는 사고(원위요골골절)가 발생했습니다.  산업재해보상법 제37조(업무상의 재해의 인정기준) 에 근거하여해당 사고 건이 산업재해로 인정받고 요양급여 신청 및 수급이 가능한지 문의 드립니다",콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.인터넷상담은 직접 민원업무 처리를 하지 않으며 일반적인 단순문의에만 답변 가능한 점 양해부탁드립니다. 고객님께서 문의하신 사항에 대하여 다음과 같이 답변을 드립니다.산재신청의 경우 근로기준법상 근로자로서 산업재해보상보험법의 적용을 받는 사업장에서 업무상 재해(사고, 질병)를 입고, 4일이상 요양이 필요하다는 의사소견이 있는 경우 산재접수는 가능합니다. 다만 업무상 재해에 해당하는지 여부는 고객님의 민원신청(산재보험 요양급여신청)에 의해 근로복지공단 관할 지역본부(지사)에서 판단을 하고 있습니다.  그리고 사이버상담실은 일반적인 기준 사항에 대해서 상담 드리는 기관으로서 산재요양신청 대상 여부는 구체적인 사실관계 조사 및 관련서류 검토가 필요하며, 이러한 확인 및 검토 업무는 사업장 관할 우리 공단에서 직접 수행함에 따라 사이버상담실은 이에 대한 직접적인 최종 판단까지는 내려드릴 수 없음을 양해해 주시기 바랍니다. 서식 다운로드 경로 및 접수하실 관할지사 찾기 관련 안내드리겠습니다.   ■ 서식 다운로드 : 근로복지공단 홈페이지(/www.kcomwel.or.k) - 왼쪽 상단 ‘서식자료’ -  ‘요양급여신청서’ 다운로드 또는 콜센터 통해 팩스/이메일 요청가능   ■ 관할지사 찾기 : 근로복지공단 홈페이지(/www.kcomwel.or.k) - (상단)공단소개 - 조직안내 - 지역본부 및 지사 메뉴에서 확인 또는 콜센터 통해 지사 확인가능 신청서 작성 후 팩스, 방문, 우편접수 가능하며 산재 지정 병원에서 고용산재토탈서비스(인터넷)로도 접수 가능 합니다.  기타 궁금한 사항이 있으면 근로복지공단 콜센터(☏1588-0075)를 이용하여 주시기 바랍니다. 감사합니다. ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다. "
184650,공개,장해보상급여 신청 구비서류,2020-09-21,남**,콜센터,처리완료,장해보상급여 신청을 하려고 합니다  장해보상급여 신청에 있어서 필요한 서류에는 무엇이있나요,콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다. 먼저 고객님의 힘든 상황에 대하여 매우 안타까우며, 진심으로 위로의 말씀을 드립니다.문의하신 장해보상급여 신청에 있어서 보상업무 전문상담사가 있어  근로복지공단 콜센터(☏1588-0075) 상담사연결 0번 그리고 산재신청 보상 요양상담2번 누르시면 필요서류 및 접수방법 안내받을수있습니다. 기타 궁금한 사항이 있으면 근로복지공단 콜센터(☏1588-0075)를 이용하여 주시기 바랍니다.  쌀쌀해지는 날씨에 건강 유의하시기 바라며 이용해 주셔서 감사합니다.※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.  "
184649,공개,1일 휴업급여액을 알고 싶습니다.,2020-09-21,김**,콜센터,처리완료,"산재 인정을 받아 쉬는 동안 휴업급여를 받는 경우 1일 휴업급여는 평균임금의 100분의 70이라고 하는데, 저임금 근로자인 경우 최저보상기준이라는 것이 있다, 평균임금과 통상임금 중 통상임금액이 더 큰 경우 평균임금이 아닌 통상임금으로 한다 등등 내용이 복잡하여 1일 휴업급여가 정확히 얼마인 것인지 알고 싶습니다.   평균임금 항목 (재해일자가 9.1일 때) 기본급 1,823,000원 근속수당 350,000원, 위험수당 50,000, 연간상여금 1,900,000원 1일 평균임금 77,652원  통상임금 항목 기본급 1,823,000원 근속수당 350,000원, 위험수당 50,000 통상시급 10,636원 1일 통상임금 85,090원  1일 휴업급여액을 알고 싶습니다.",콜센터,"고객님 안녕하십니까?근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.산재법 제52조(휴업급여)에 따라 지급되는 1일당 휴업급여 지급액이 최저보상기준금액의 80%보다 적거나  같은 경우에는 평균임금의 90%를 휴업급여로 지급함. 단, 평균임금의 90%가 최저임금액보다 적으면 최저임금액으로 지급하고 평균임금의 90%가 최저보상기준금액의 80% 초과하면 최저보상기준금액의 80%가 휴업급여액이 됨. (저소득근로자휴업급여는 평균임금90%를 적용하나, 최저보상기준금액의 80%를 초과하지 못함.) 다만, 2017년 기준으로 최저임금의 상승으로 최저보상기준금액의 80%보다 최저임금이 높아, 실제 저소득근로자 휴업급여는 적용 실익이 없으므로 2017년 이후에는 평균임금의 70%가 최저임금액보다 적은 경우 최저임금액으로 지급되고 있음. 2020년도 기준 최저임금액은 68,720원임.보다 자세한 상담은 인터넷 상담으로 도움드리기 어려운 점 양해말씀 부탁드립니다. 자세한 내용은 1588-0075로 문의하시어 요양, 보상 업무담당자 통해서 상담받으시기 바랍니다."
184596,공개,산재보상 문의해요!~,2020-09-20,황**,콜센터,처리완료,회사근무중 화물차에서 실수로 떨어져서 손목을 다쳤습니다. 골절수술받고 깁스상태구요. 첨엔 제돈으로 치료비 냈는데 자동차종합보험에서 보상가능하다길래 지금은 보험처리중입니다. 문의할내용은 1. 산재로 전환 가능한가요? 2. 비급여는 산재보상 안된다던데요.  개별요양급여제도로 가능하다던데요? 3. 지금 출근중인데  손이 넘 불편하여 휴직하고 싶은데 휴직기간은 누가 정하는지요? 전담의사? 아님 근로복지공단인가요?,콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다. 현재 공단 업무 폭주로 인하여 상담업무가 상당히 지연되고 있으므로 고객님의 너그러운 이해 부탁드리며, 답변이 늦어진 점 대단히 죄송합니다.  1. 산재로 전환 가능한가요?->가능합니다. 1) 산업재해보상보험법의 적용을 받는 사업장에서 2) 업무상 재해를 당한 경우에 해당2. 비급여는 산재보상 안된다던데요. 개별요양급여제도로 가능하다던데요? ->산재보험법상 지급이 불가한 산재보험비급여 중에 산재근로자에게 의학적으로 진료의 필요성이 인정될 수 있는 비급여부분에 대하여 공단본부 진료비심사자문위원회의 심의를 통해 치료에 필요한 사항으로 인정이 되면 산재법상 비급여라도 예외적으로 지급하는 하는 개별요양급여신청제도가 마련되어 있어 산재보험요양급여상 비급여 항목인 경우에도 요양급여로 정하지 아니한 진료항목과 비용 중 산재근로자의 진료에 필요하다고 의학적으로 판단되는 경우에는 개별요양급여급여기준에 따라 추가 지급될 수도 있습니다. 다만, 비급여 부분은 세부 항목에 대한 개별 검토 건으로 의료기관 소재지 관할 지역본부(지사) 재활보상부로 서류 제출 후 승인여부 결정을 받으셔야 합니다. 3. 지금 출근중인데 손이 넘 불편하여 휴직하고 싶은데 휴직기간은 누가 정하는지요? 전담의사? 아님 근로복지공단인가요?-> 산재처리가 승인나면 환자분의 주치의사의 의학적소견과 근로복지공단의 자문의사의 의학적소견에 의해 근로자의 치료가간이 결정되며 그 치료기간 동안 취업이 가능여부에 대한 소견을 통합하여 공단에서 결정하게 됩니다.  기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다. 이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다. ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.    "
184444,공개,산재요양문의,2020-09-17,김**,콜센터,처리완료,저는 2020년 4월14일부터 현재까지 산재요양 하고있습니다. 아직도 통증으로 주사제와 약으로지내고있습니다. 오는 10월10일자로 요양 치료  종결 한다기에 아직도 정상적생활을할수없는 통증이 있는데 어찌해야합니까?,콜센터,"고객님 안녕하십니까? 근로복지공단 콜센터입니다. 먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다. ※ 사이버 상담실에서는 일반적인 기준에 대해 안내해드리는 기관으로서 직접적인 업무처리를 하지 않음을 양해해 주시기 바랍니다. 또한, 고객님께서 문의하신 내용은 개인정보확인(주민번호, 사업장명 등) 이 필요한 사항으로 콜센터 또는 인터넷 문의는 상담에 다소 제한이 있음을 양지하여 주시기 바랍니다.고객님이 문의주신 내용은 치료기간 연장에 대한 문의사항으로 보여집니다. 치료기간연장은 주치의사와 자문의사의 의견과 실제로 업무를 담당하는 업무부서에서 결정할 사항으로 콜센타에서는 답변을 드릴 수 잆는 부분으로 고객님을 담당하는 당당자와 상의하여 주셔야 합니다.  도움 못드려 죄송합니다. 업무처리 잘 되시길 바랍니다. ※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.  "
