글번호,공개여부,제목,등록일,작성자,처리지사,진행현황,내용,답변자,답변내용
186708,공개,직계존비속의 범위,2020-11-02,최**,콜센터,처리완료,대표자의 처제나 처남은 일자리 안정자금 지원대상이 아닌가요??,콜센터,"고객님 안녕하십니까?근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.‘일자리 안정자금’의 지원이 배제되는 특수관계인은 사업주, 배우자, 사업주의 직계존비속(아들, 딸, 부모, 조부모 등임)입니다.위 특수관계인은 통상 경제적 공동체로 보는 것이 합리적이고, 개별적으로 근로자성을 판단하기도 쉽지 않은 측면을 고려하여 고용보험 가입과 상관없이 원칙적으로 지원에서 배제하고 상시근로자수 산정에서도 제외합니다.따라서, 그 외 친족은 일자리 지원이 배제되지는 않으나, 근로자성 인정을 받고 고용보험 가입이 되어야 하는 점 참고하시기 바랍니다.일자리안정자금 관련하여 추가적인 문의가 있으실 경우 관할지사 경영복지부로 연락 바랍니다.▶ 관할지사 찾기 ⇒ 근로복지공단 홈페이지(www.kcomwel.or.kr) ⇒ (상단)공단소개 ⇒ 조직안내 ⇒ 지역본부 및 지사 메뉴(사업장 관할지사내 일자리관련 문의는 경영복지부 / 근로자성인정 관련문의는 가입지원부) 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.  "
186695,공개,일자리안정지원금,2020-11-02,최**,콜센터,처리완료,"남편이 집을 나가고 지금은 이혼한 상태입니다 코로나로 일자리도 없고 이혼후 돈도 한푼 못받고 4년을 생활고로 시달리고있습니다 알비하는데 알비도 곧 짤릴것 같아요자녀도 코로나로 취업자리도 없고 너무힘든가운데 있습니다,",콜센터,"고객님 안녕하십니까?근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.근로복지공단에서 지원가능한 지원금은 일자리 안정자금이 있습니다만,일자리 안정자금은 최저임금 인상에 따른 소상공인 및 영세중소기업의 경영부담을 완화하고 노동자의 고용불안을 해소하기 위한 사업주 지원 사업입니다.타 기관 지원금 사업은 안내가 어려운 점 양해 부탁드리며, 도움드리지 못해 죄송합니다. 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.  "
186694,공개,일자리안전자금,2020-11-01,허**,콜센터,처리완료,코로나19 때문에 실직중 그래서 신청합니다,콜센터,"고객님 안녕하십니까?근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.근로복지공단에서 지원가능한 지원금은 일자리 안정자금이 있습니다만,일자리 안정자금은 최저임금 인상에 따른 소상공인 및 영세중소기업의 경영부담을 완화하고 노동자의 고용불안을 해소하기 위한 사업주 지원 사업입니다.타 기관 지원금 사업은 안내가 어려운 점 양해 부탁드리며, 도움드리지 못해 죄송합니다. 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.  "
186678,공개,일자리 안정자금 반환금 독촉 안내문 ...,2020-10-31,홍**,콜센터,처리완료,"안녕하세요 문의드립니다. 우편으로 받았는데요. 회사가 아닌 집으로 왔구요.  성림종합건설(주) 사업자번호 279-81-01211 대표 : 홍성원 일자리 안정자금 반환금 312,000원  전자납부번호로 인터넷 지로 홈페이지에서 조회가 안됩니다. 그래서 사실여부 확인하려 합니다.  감사합니다.",콜센터,"고객님 안녕하십니까?근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.해당사업장의 일자리안정자금 관련 환수 내역은 확인되지 않습니다.근로복지공단에서 받아 본 일자리안정자금 환수통지서가 맞다면, 번거로우시겠지만 실제 업무를 담당하고 있는 관할지사 담당자를 통해 확인 바랍니다. 불편드려 정말 죄송합니다.▶ 관할지사 담당자번호 : 부천지사 032-650-0370- 전산으로 확인되는 번호는 실제 업무담당자와 상이할 수 있는 점 참고바랍니다.  기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.  "
186665,공개,일자리 안정자금 가입되어 있는지 확인...,2020-10-30,오**,콜센터,처리완료,1. 일자리 안정자금신청을 팩스로 접수하였습니다.  2. 가입여부를 확인하고 싶습니다.   발신팩스번호 : 02-6298-9233 공단팩스번호 : 031-828-8222 접수번호 : px1-200915-000558501 수신일시 : 20.09.15 16:11,콜센터,"고객님 안녕하십니까?근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.1~2. 보낸팩스번호 0262989233 로 조회한결과 20.09.15 에 팩스수신된 내역이 확인되지않습니다. 그리고 근로복지공단 부서팩스번호는 지역번호가 아닌 0502로 시작하며, 혹시나 개별적으로 담당자 팩스번호를 확인하여 발송을 하셨다면 관할지사 담당자를 통해 안내를 받아보셔야 합니다.*신청서 접수현황에 대해서는 정보 확인 및 전산 확인이 필요하여  [ 사업자등록번호 or 고용관리번호 / 사업장명 ] 확인 필요도움드리지 못해 죄송합니다.▶ 관할지사 찾기 ⇒ 근로복지공단 홈페이지(www.kcomwel.or.kr) ⇒ (상단)공단소개 ⇒ 조직안내 ⇒ 지역본부 및 지사 메뉴(사업장 관할지사내 경영복지부) 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.  "
186653,공개,일자리 안정자금 지원 대상자의 고용안...,2020-10-30,정**,콜센터,처리완료,"안녕하세요. 현재 5인 미만 기업으로 일자리안정자금 지원을 직원 3명이 받고 있습니다. 이들 중 2명이 지난 6월경 고용보험에서 고용안정장려금 중 '재택근무 활용'에 따른 간접노무비를 지원 받았습니다. 헌데, 일자리 안정자금 지원요건 준수 확인을 하려다보니, '국가 등으로부터 인건비 재정지원을 받고 있지 않아야 한다'는 항목이 있어 문의드립니다. 간접노무비 지원을 받은게 이에 해당하는지 문의드립니다. 바쁘시겠지만 신속한 확인 부탁드립니다. 감사합니다.",콜센터,"고객님 안녕하십니까?근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.사이버 상담실은 일반적인 기준에 대한 안내만 가능한 점 양해 부탁드리며, 재정지원을 받을 경우 제외기준 안내해드리겠습니다.국가나 지자체의 재정지원이 광범위하여 추가적으로 판단이 필요한 사업이 있을경우 번거로우시겠지만 관할지사 담당자를 통해 확인 바랍니다.☞ 일자리 안정자금과 사업목적이나 지원내용이 유사한 국가 또는 지자체의 재정지원을 받고 있는 사업주 및 근로자는 중복지원 방지차원에서 지원 배제☞ 일자리 안정자금의 사업목적과 지원내용▲ (사업목적) 최저임금 인상에 따른 기업의 경영부담 완화와 저임금 근로자의 고용안정▲ (지원내용) 최저임금 인상분 중 최근 2년간(‘18년 16.4%, ‘19년 10.9%) 통상적 인상분을 초과하는 누적적 사업주 부담금[배제 범위]인건비, 운영비 등 사업수행을 위한 경비 대다수를 정부 또는 지자체 등의 재정지원(직접지원 + 바우처)을 통해 운영되는 사업(주)의 경우, 최저임금 인상에 따른 사업(주)의 부담이 발생하지 않으므로 아래와 같이 그 사업(주)를 지원에서 제외됩니다.▶ 일자리 안정자금 배제되는 사업(주)① 정부, 지자체로부터 운영비를 지원받고 있는 사회복지시설  * 노인･아동･장애인･정신보건･노숙인･일반･결핵한센인･한부모가족･여성･다문화가족 등② 정부·지자체(공공기관 포함)가 특정목적 수행을 위해 개별법 등에 따라 설립하거나 인건비 등 운영비 전체를 예산으로 지원받는 기관  *(예시) 경력단절여성지원센터, 여성 새로일하기센터, 외국인노동자지원센터, 다문화가족지원센터, 창조경제혁신센터, 여성인력개발센터, 고령자인재은행, 중장년일자리희망센터, 어업인 일자리지원센터, 대학청년고용센터, 대학일자리센터, 기업공감원스톱지원센터, 창업보육센터, 국방취업지원센터, 건강가정지원센터, 소상공인 지원센터, 건설인력종합지원센터, 해바라기센터, 재향군인회, 생활체육회, 육아종합지원센터, 청소년상담복지센터, 여성교육문화센터, 농업인종합지원센터, 시니어클럽 등③정부, 지자체의 직접 재정지원과 누리과정 예산 등을 통해 보육료 등을 바우처 방식으로 간접 지원받고 있는 어린이집･유치원   * 사업(주)의 주 수입원이 주로 바우처 방식으로 운영되고 있는 가사간병방문지원기관도 제외④기타 위에 준하여 인건비 등 기관 운영 전체 또는 대부분의 운영예산을 자체 수익에 의하지 않고 국가 등 재정지원을 통해 운영되는 기관▶ 국가 등에서 인건비를 재정지원 하는 사업의 경우(기준) 국가 등의 인건비 재정지원은 전액 또는 일부 여부에 관계없이, ‘매년도 시간당 최저임금을 월 소정근로시간 등으로 환산한 금액 이상 지원시’ 인건비 지원으로 간주하여 안정자금 지원 배제합니다. ☞ 인건비 전액 지원 판단 예시     • 월급제 : 매년도 시간당 최저임금액에 월 소정시간을 곱한 금액   * 예시①) 1일 8시간 주5일 근무시 : 최저임금(‘20년 8,590원) × 209시간 = 1,795,310원 이상  * 예시②) 1일 4시간 주5일 근무시 : 최저임금(‘20년 8,590원) ×104시간 = 893,360원 이상  ※ 월 215만원(시간당 10,310원) 이상 인건비 재정지원의 경우는 안정자금 지원대상아님 • 시급제 : 시급으로 판단  * 매년도 시간당 최저임금(‘20년 8,590원) 이상  ▶ 관할지사 찾기 ⇒ 근로복지공단 홈페이지(www.kcomwel.or.kr) ⇒ (상단)공단소개 ⇒ 조직안내 ⇒ 지역본부 및 지사 메뉴(사업장 관할지사내 경영복지부) 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.  "
186638,공개,일자리관리번호 어서 확인하나요?,2020-10-30,홍**,콜센터,처리완료,"일자리 안정자금 지원요건 준수 확인서(재검증)을 작성하고 있습니다.  1. 일자리관리번호 어서 확인하나요? 2. 사업자(법인)등록번호는 사업자 번호를 쓰라는 것인지, 법인등록번호를 쓰라는 것인지요? 3. 고용보험관리번호는 사업자번호인가요?",콜센터,"고객님 안녕하십니까?근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.1. ▶ 일자리안정자금 지원금 지급내역 조회- 근로복지공단 고용·산재보험 토탈서비스(http://total.kcomwel.or.kr) 에서 사업장 회원으로 로그인 후 ‘정보조회 → 일자리지원금조회 → 지원금지급내역조회’ 메뉴에서 일자리안정자금 지급내역 조회 / 해당화면에서 일자리관리번호 및 관리번호 등 사업장정보 확인 가능합니다. 2. 법인인 경우 법인등록번호, 개인사업주의 경우 사업자 등록번호로 기준으로 기재하시면 됩니다.3. 고용보험 적용사업장에 `고용보험 관리번호` 가 별도로 부여되며, 사업자 번호와 상이합니다.* 빈 서식이용시 정확한 사업장 정보가 기재되지 않을 경우 누락처리 될 수 있습니다. 가급적 온라인 접수 부탁드립니다. (10월 28일부터 온라인 접수 가능)▶ 지원요건준수확인서 온라인접수 ⇒ 고용·산재보험 토탈서비스(http://total.kcomwel.or.kr) 사업장회원 로그인 ⇒ 민원접수신고 ⇒ 일자리지원금지원신청 ⇒ 일자리안정자금지원요건준수확인서일자리안정자금 관련하여 추가적인 문의가 있으실 경우 관할지사 경영복지부로 연락 바랍니다.▶ 관할지사 찾기 ⇒ 근로복지공단 홈페이지(www.kcomwel.or.kr) ⇒ (상단)공단소개 ⇒ 조직안내 ⇒ 지역본부 및 지사 메뉴(사업장 관할지사내 경영복지부) 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.  "
186623,공개,직원월급 지원,2020-10-29,정**,콜센터,처리완료,"임대업을하고있고 한명의 관리인을 고용하고있습니다. 일자리안정자금을 신청하려고하는데 예시가 너무 많아서 그런데,어느항목에 신청을 해야하는건가요?",콜센터,"고객님 안녕하십니까?근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.일반사업장-고용보험적용근로자용 최초신청서식으로 안내해드리니 참고하시기 바라며, 사업장 업종과 근로자 근무형태 등에 따라 신청서식이 상이하므로 추가적인 내용은 관할지사 경영복지부로 연락 바랍니다.◆ 고용보험 적용근로자 신청서식 (상용, 단시간근로자) [고용보험 기가입자] 2020년 일자리안정자금 지원신청서 + 지원요건확인서[고용보험 신규가입자] 피보험자격 취득신고서 + 일자리안정자금 신청 세부내역 + 지원요건확인서◆ 신청방법 ① 온라인접수 ⇒ 고용·산재보험 토탈서비스(http://total.kcomwel.or.kr) 사업장회원 로그인 ⇒ 민원접수신고 ⇒ 일자리지원금지원신청 ⇒ [고용보험기가입자] 2020일자리안정자금지원신청서 / [고용보험 신규가입자] (적용)근로자고용신고 접수② 오프라인접수 ⇒ 일자리안정자금 홈페이지(http://jobfunds.or.kr) ⇒ (상단)신청방법 ⇒ 신청서다운로드 메뉴에서 [고용보험 기가입자] 고용보험 적용 사업장 ⇒ 고용보험 가입 노동자 신청서식 ⇒ 일반사업장 / [고용보험 신규가입자] 고용보험 적용 사업장 ⇒ 고용보험 신규가입 신청서식 ⇒ 노동자 일반사업장용 다운로드 또는 콜센터 통해 팩스/이메일 요청가능⇒ 사업장 관할 근로복지공단 팩스접수 및 우편 또는 방문 접수③ 관할지사 찾기 ⇒ 근로복지공단 홈페이지(www.kcomwel.or.kr) ⇒ (상단)공단소개 ⇒ 조직안내 ⇒ 지역본부 및 지사 메뉴(사업장 관할지사내 경영복지부)▶월평균보수: 지급신청월이 속한 해에 지급하기로 한 보수총액을 해당 근무개월수로 나눈 금액▶주소정근로시간 : 근로자와 사용자간 근로하기로 미리 정한 시간(주 근무일수×일 소정근로시간)을 기재▶정액급여: 소정근로시간에 대해 정기적․고정적으로 지급받기로 한 보수의 합계▶ 최저임금 검증시에는 신청서에 기재된 정액급여를 소정근로시간으로 나눈 시간급 임금이 8,590원 이상 10.310원이하 이면 최저 임금 준수 인정(시간급으로 판단) 입니다.* 월급근로자 = 월정액급여/월소정근로시간, 주급근로자 = 주정액급여/주소정근로시간, 시간급근로자 = 시간급 임금 ※ 신청일 현재 고용보험 피보험자수가 5인 미만 일 경우 오프라인 신청 가능※ 공동대표자가 있는 경우 “공동대표자 개인정보활용동의서”별도 제출필요 ※ 2020년 일자리안정자금 신규 및 추가근로자 신청시기:  ’20.12.14.(월) 까지 기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.  "
186619,공개,일자리 안정자금 대상자 변경,2020-10-29,박**,콜센터,처리완료,안녕하세요.   저희회사에 일자리 안정자금을 지원받는 근로자가 1명있는데  급여가 인상되어 지원 대상이 안되게 되었습니다. 지원대상자를 삭제 하려고 하는데 전화연결이 잘 안되서 온라인으로 문의드립니다. 변경 방법을 알려주세요.  감사합니다.,콜센터,"고객님 안녕하십니까?근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.월보수 215만원은 당해연도 매월 지급되는 보수를 '월평균 한' 개념으로 일시적 사유로 일부 월의 임금이 215만원을 초과하였다 하더라도 반드시 변경신고를 하여야 하는 것은 아닙니다. 다만, 지원기간 도중 임금협상 등을 통해 기본급 인상 등 월평균 보수가 215만원이 넘을 것이 명확한 경우에는 반드시 변경신고를 하여야 합니다. 변경신고를 하지 않을 경우 다음연도 확정 신고된 보수총액 일괄 모니터링을 통해 사후 환수될 수 있음에 유의하시기 바랍니다.-’21년도에 신고한 ’20년분 확정 보수총액을 토대로 산정된 월평균보수가 215만원의 110% 수준인 237만원을 초과한 경우, 지원요건을 갖추지못한 것으로 간주하고 해당 근로자에 대한 지원금은 전액 환수○ 신청서식 : 일자리 안정자금 상용근로자 변경신고서○ 온라인접수 ⇒ 고용·산재보험 토탈서비스(http://total.kcomwel.or.kr) 사업장회원 로그인 ⇒ 민원접수신고 ⇒ 일자리지원금지원신청○ 오프라인접수 ⇒ 일자리안정자금 홈페이지(http://jobfunds.or.kr) ⇒ (상단)신청방법 ⇒ 신청서다운로드 메뉴에서 다운로드 또는 콜센터 통해 팩스/이메일 요청가능⇒ 사업장 관할 근로복지공단 팩스접수 및 우편 또는 방문 접수○ 관할지사 찾기 ⇒ 근로복지공단 홈페이지(www.kcomwel.or.kr) ⇒ (상단)공단소개 ⇒ 조직안내 ⇒ 지역본부 및 지사 메뉴(사업장 관할지사내 경영복지부)* (유의사항) 월평균보수, 주소정근로시간이 변경되었음에도 불구하고 변경신고를 하지 않은 경우, 향후 고용보험 보수총액 신고사항 등과 비교하여 과오지급된 지원금이 환수될 수 있음만일, 지원금을 지급 받던 중 ｢고용·산재보험 월평균 보수변경신고서｣에 따라 월평균보수 변경신고를 하였다 하더라도 이는 안정자금 지원기준인 월평균보수 변경과는 무관하기 때문에 반드시 위 변경신고서에 따라 신고해야 함기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.  "
186609,공개,지원요건 준수확인서 미제출 통지문자,2020-10-29,조**,콜센터,처리완료,10월 21일에 우체국을 통해서 근로복지공단 유성지사에 등기우편물 (등기번호  1300_3126_41853) 로 지원요건 준수확인서를 제출했습니다. 10월 28일자로 근로복지공단에서 일자리안정자금 재검증확인서를 제출하지 않아서 11월 지원금이 지급되지 않을 예정이라는 문자를 받았습니다. 이와 관련하여 현재 상황을 확인하고 싶습니다.,콜센터,"고객님 안녕하십니까?근로복지공단 콜센터입니다.먼저 근로복지공단에 대한 고객님의 관심에 깊이 감사드립니다.* 지원요건준수확인서가 접수가 되었더라도 아직 미확인(승인 전) 사업장에 대해 부득이하게 문자가 발송 될 수 있는 점 양해 부탁드리며, 접수가 되었다면 확인 절차를 거쳐 이상이 없을 경우, 지원금 계속 지원이 될 예정입니다.서식접수 현황에 대해서는 정보 확인 및 전산 확인이 필요하여 답변이 어려운 점 양해부탁드리며, 번거로우시겠지만 [ 사업자등록번호 or 고용관리번호 / 사업장명 ] 을 같이 기재하여 재문의 주시거나, 실제 업무를 담당하고 있는 관할지사 담당자를 통해 확인 바랍니다.불편드려 정말 죄송합니다.▶ 관할지사 찾기 ⇒ 근로복지공단 홈페이지(www.kcomwel.or.kr) ⇒ (상단)공단소개 ⇒ 조직안내 ⇒ 지역본부 및 지사 메뉴(사업장 관할지사내 경영복지부)기타 궁금한 사항이 있으시면 근로복지공단 콜센터(☎1588-0075)로 전화를 주시면 성심 성의껏 답변해 드리겠습니다.이용해 주셔서 감사합니다. 오늘도 행복한 하루 보내시길 바랍니다.※ 인터넷 질의응답은 법적인 효력을 갖는 결정이나 판단이 아니므로 각종 권리 주장의 근거 또는 증거 자료등으로 사용할 수 없으니 참고하시기 바랍니다.  "
